ID;Author;Title;Year;Data Origin;Visual Dim;Space Scale Start;Space Scale Finish;Time Scale Start;Time Scale Finish;Level;Multi scale;Human;Phys/Anat;Survey model method tool;Old Purpose;Direct Vis;Vis analysis;Illus Vis;Purpose test;Purpose comment;Process;Structure;Origin;Concept;Ref. Image;Image Name;Bibtex Authors;Abstract;Keywords;Future work
125;Roßler et al.;GPU-based Multi-Volume Rendering for the Visualization of Functional Brain Images;2006;fMRI;3;-3;-2;0;0;Organ;0;1;Physiology;Method;Process analysis;1;0;0;1;combination rendering;activation;Brain;Vis;flexible framework for GPU-based multi-volume rendering, which served as basis to our visualization tool for functional brain imaging data;#NAME?;rosler.jpg;Friedemann Roßler, Eduardo Tejada, Thomas Fangmeier, Thomas Ertl, and Markus Knauff;Nowadays, medical imaging procedures provide a great variety of data obtained with different modalities. To offer a deeper insight into this data the simultaneous visualization of these images, not regarding their source, must be provided. One example is the field of functional brain imaging, where the activation of brain regions during cognitive tasks is measured. This data has to be visualized whitin its anatomical context - the brain - in order to have an spatial impression of the position of the activation. To that end, multi-volume visualization must be supported. In this paper we describe a flexible framework for GPU-based multi-volume rendering, which provides a correct overlaying of an arbitrary number of volumes and allows the visual output for each volume to be controlled independently. We also present, a visualization tool specific for the rendering of functional brain images, we built on top of this framework. This tool includes different GPU-based volume rendering techniques, on the one hand for the interactive visual exploration of the data, and on the other hand for the generation of high-quality visual representations. We demonstrate the effectiveness of our tool with data gathered from a cognitive study, in regard to performance and quality results.;volume, color coded, surface mapping, representation combination;---
126;Ryan, McGill, Wilson;E.O.Wilson's life on Earth;2014;Multiple;3;-9;-2;-9;0;All;1;1;Physiology;Survey;Comunication;0;0;0;0;illustration;Life;Body;Illustrator;Book of life, with interactive animations;#NAME?;ryan.jpg;Morgan Ryan, Gael McGill, Edward O. Wilson;Designed to give students a deep understanding of the central topics of introductory biology, E. O. Wilson’s Life on Earth is a captivating iBooks Textbook presented as a seven-unit collection. In this first unit, we explore the unity of life by examining the shared features of all living things, inherited from a universal common ancestor. In addition, we look at the evolutionary mechanisms that—over the course of 3.5 billion years—created the countless species and forms of life that populate our diverse living planet. Each unit of the engagingly interactive E. O. Wilson’s Life on Earth features video, photo galleries, and Multi-Touch images and illustrations that inspire students to study, enjoy, and help protect the wonders of life on Earth.;illustration;---
127;Sakaue-Sawano et al.;Visualizing Spatiotemporal Dynamics of Multicellular Cell-Cycle Progression;2008;Microscope;2;-6;-5;3;3;Cell, Tissue;0;0;Physiology;Method;Direct visualization;1;0;0;1;direct visualization;cell cycle regulation;Cell;Biology;Sakaue et al. had proposed a novel method of coloring for fluorescence microscope, and to create a small multiple views of specific timesteps, to show an overall process of cell cycle progression.;#NAME?;sakaue.jpg;Asako Sakaue-Sawano, Hiroshi Kurokawa, Toshifumi Morimura, Aki Hanyu, Hiroshi Hama, Hatsuki Osawa, Saori Kashiwagi, Kiyoko Fukami, Takaki Miyata, Hiroyuki Miyoshi, Takeshi Imamura, Masaharu Ogawa, Hisao Masai, and Atsushi Miyawaki;The cell-cycle transition from G1 to S phase has been difficult to visualize. We have harnessed antiphase oscillating proteins that mark cell-cycle transitions in order to develop genetically encoded fluorescent probes for this purpose. These probes effectively label individual G1 phase nuclei red and those in S/G2/ M phases green. We were able to generate cultured cells and transgenic mice constitutively expressing the cell-cycle probes, in which every cell nucleus exhibits either red or green fluorescence. We performed time-lapse imaging to explore the spatiotemporal patterns of cell-cycle dynamics during the epithelial-mesenchymal transition of cultured cells, the migration and differentiation of neural progenitors in brain slices, and the development of tumors across blood vessels in live mice. These mice and cell lines will serve as model systems permitting unprecedented spatial and temporal resolution to help us better understand how the cell cycle is coordinated with various biological events.;small multiples, experimental coloring;---
128;Santhanam et al.;Modeling real-time 3-D lung deformations for medical visualization;2008;CT;3;-3;-2;0;0;Organ;0;1;Physiology;Model;Process modeling,Direct visualization;1;0;0;1;direct visualization of lung model;lung dynamic;Lung;Vis;Physics based physiology based approach for modeling real time deformations of 3D high resolution lung models;#NAME?;santhanam.jpg;Anand P. Santhanam, Celina Imielinska, Paul Davenport, Patrick Kupelian, Jannick P. Rolland;In this paper, we propose a physics-based and physiology-based approach for modeling real-time deformations of 3-D high-resolution polygonal lung models obtained from highresolution computed tomography (HRCT) images of normal human subjects. The physics-based deformation operator is nonsymmetric, which accounts for the heterogeneous elastic properties of the lung tissue and spatial-dynamic flow properties of the air. An iterative approach is used to estimate the deformation with the deformation operator initialized based on the regional alveolar expandability, a key physiology-based parameter. The force applied on each surface node is based on the airflow pattern inside the lungs, which is known to be based on the orientation of the human subject. The validation of lung dynamics is done by resimulating the lung deformation and comparing it with HRCT data and computing force applied on each node derived from a 4-D HRCT dataset of a normal human subject using the proposed deformation operator and verifying its gradient with the orientation.;mesh;Study with more patient data
129;Schleich et al.;Understanding normal cardiac development using animated models;2002;Empirical;3;-3;-3;4;4;Organ;0;1;Anatomy;Model;Process analysis, Comunication;0;0;1;1;illustration;development;Heart;Vis;Modeled the development of the heart through days.;#NAME?;schleich.jpg;Jean-Marc Schleich, Claude Almange, Jean-Louis Dillenseger, Jean-Louis Coatrieux;Learning how the human heart develops is essential in cardiology education. It lets us understand a normal heart’s morphology and also explains the formation of congenital heart defects. However, learning cardiac embryology is difficult because the processes underlying the heart formation are complex. This complexity is caused by the fact that complicated organs like the heart are generated from only a couple of cells. Heart development isn’t easy to learn because students must understand the spatial arrangement of the anatomical structures and be able to perceive the dynamic evolution of these structures in its whole complexity. Students have traditionally studied heart development through either lectures or textbooks. But none of these teaching modalities adequately describes the spatiotemporal complexity of the heart’s development. To get an idea of the difficulty of such a description, see the sidebar “Development of Cardiac Outflow Tracts.” Classically, the descriptions are illustrated by sketches like Figure 1 that help us visualize or represent the spatiotemporal evolution of this phenomenon.1 However, such drawings and sketches aren’t effective because 2D pictures only give a partial impression of the objects’ geometry. Moreover, the dynamics of structural evolution can only be rendered with a limited sequence of static images. This inadequacy in representing complex spatial developments is a major limitation. As a result, researchers must undergo the tricky task of graphically illustrating the generation and temporal transformation of most cardiac structures. Fortunately, advanced computer graphics can provide substantial improvements for teaching medicine (see, for example, the special CG&Aissue on imaging in medical education2) by letting researchers design, model, visualize, and manipulate 3D objects as well as produce animated movies. This article shows how we created animated models to improve the understanding of the complex changes that occur during normal heart development.;mesh, animation;---
130;Schmidt-Ehrenberg, Baum, Hege;Visualizing dynamic molecular conformations;2002;MD simulation;3;-9;-7;---;---;Molecule;0;1;Physiology;Method;Process analysis, Structure analysis;0.75;0.25;0;1;additional encoding of derived data;Molecule conformation state;Molecule;Vis;Method to visualize molecular conformal phase, a task that deals with the variation of molecular shape.;#NAME?;schmidt.jpg;Johannes Schmidt-Ehrenberg, Daniel Baum, and Hans-Christian Hege; The bioactivity of a molecule strongly depends on its metastable conformational shapes and the transitions between these. Therefore, conformation analysis and visualization is a basic prerequisite for the understanding of biochemical processes. We present techniques for visual analysis of metastable molecular conformations. Core of these are flexibly applicable methods for alignment of molecular geometries, as well as methods for depicting shape and "fuzziness" of metastable conformations. All analysis tools are provided in an integrated working environment. The described techniques are demonstrated with pharmaceutically active biomolecules.;isosurface, color coded, representation combination;Alignment choice
131;Schreiber;Comparison of metabolic pathways using constraint graph drawing;2003;Pathway;2;---;---;---;---;Molecule;0;1;None;Method;Process analysis;1;0;0;1;direct visualization;---;---;Vis;A new approach for the visual comparison of metabolic pathways using a constraint graph drawing algorithm;#NAME?;schreiber.jpg;Falk Schreiber;Databases contain a large amount of data about metabolic pathways, in particular about similar pathways in different species. Biologists are familiar with visual representations of metabolic pathways. Visualizations help them to understand the complex relationships between the components of the pathways, to extract information from the data, and to compare pathways between different species. However, visual interfaces to metabolic pathway databases cannot cope well with the visual comparison of similar pathways in different species. This paper presents a new approach for the visual comparison of metabolic pathways using a constraint graph drawing algorithm. Using layout constraints the same parts of similar pathways in different species are placed side by side, thereby highlighting similarities and differences between these pathways. This visualization method can be used as a visual interface to databases and has been tested with data obtained from the BioPath system and from the KEGG database.;network, comparative visualization;---
132;Schwenke et al.;Blood flow computation in phase-contrast MRI by minimal paths in anisotropic media;2011;PCMRI;3;-3;-2;0;0;Organ;0;1;Physiology;Method;Process analysis;0.25;0.75;0;1;additional encoding of derived data;blood flow;Heart;Medical imaging;Present the methodological basis for blood flow estimation based on minimal paths. Currently, the main application is uncertainty visualization for flow patterns;#NAME?;schwenke.jpg;Michael Schwenke, Anja Hennemuth, Bernd Fischer, and Ola Friman;In this paper, anisotropic Fast Marching is employed to compute blood flow trajectories as minimal paths in 3D phase-contrast MRI images. Uncertainty in the estimated blood flow vectors is incorporated in a tensor which is used as metric for the anisotropic Fast Marching. A flow connectivity distribution is computed simultaneously to the Fast Marching. Based on the connectivity distribution the most likely flow trajectories can be identified. Results are presented for several PC MRI data sets and the capability of the method to indicate uncertainty of the flow trajectories is shown.;flow visualization, pathlines, color coded;more experimentalwork, using for example physical flow phantoms or flow simulations, to further validate the method is required
133;Sheharyar et al.;Spatio-temporal Visualization of Regional Myocardial Velocities;2016;MRI;2;-3;-2;0;0;Organ;0;1;Physiology;Method;Process analysis;0;1;0;1;derived information into bullseye plot for visual analysis;blood flow;Heart;Vis;Sheharyar et al. have studied four different encodings of velocities in myocardium in bullseye layout visualization. Encodings are warp segments, pins, warped lines and warped lines and pins.;;sheharyar.jpg;A. Sheharyar, T. Chitiboi, E. Keller, O. Rahman, S. Schnell, M. Markl, O. Bouhali, and L. Linsen;Cardiovascular disease is the leading cause of death worldwide according to the World Health Organization (WHO). Nearly half of all heart failures occur due to the decline in the performance of the left ventricle (LV). Therefore, early detection, monitoring, and accurate diagnosis of LV pathologies are of critical importance. Usually, global cardiac function parameters are used to assess the cardiac structure and function, although regional abnormalities are important biomarkers of several cardiac diseases. Regional motion of the myocardium, the muscular wall of the LV, can be captured in a non-invasive manner using the velocity-encoded magnetic resonance (MR) imaging method known as Tissue Phase Mapping (TPM). To analyze the complex motion pattern, one typically visualizes for each time step the radial, longitudinal, and circumferential velocities separately according to the American Heart Association (AHA) model, which makes the comprehension of the spatio-temporal pattern an extremely challenging cognitive task. We propose novel spatio-temporal visualization methods for LV myocardial motion analysis with less cognitive load. Our approach uses coordinated views for navigating through the data space. One view visualizes individual time steps, which can be scrolled or animated, while a second view visualizes the temporal evolution using the radial layout of a polar plot for the time dimension. Different designs for visual encoding were considered in both views and evaluated with medical experts to demonstrate and compare their effectiveness and intuitiveness for detecting and analyzing regional abnormalities.;bullseye, warping, pins, lines;---
134;Shinohara et al.;Real-time visualization of muscle stiffness distribution with ultrasound shear wave imaging during muscle contraction;2010;Ultrasound;2;-3;-3;0;0;Tissue;0;1;Physiology;Method;Process analysis;1;0;0;1;direct visualization;Muscle contraction;Muscle;Medicine;Direct visualization of muscle contraction;#NAME?;shinohara.jpg;MINORU SHINOHARA, KARIM SABRA, JEAN-LUC GENNISSON, MATHIAS FINK, MICKAEL TANTER;A stand-alone ultrasound shear wave imaging technology has been developed to quantify and visualize Young’s modulus distribution by remotely applying ultrasound radiation force and tracking the resulting microvibrations in soft tissues with ultrafast ultrasound imaging. We report the first preliminary data that detected the distribution of local muscle stiffness within and between resting and contracting muscles at different muscle lengths with this technology. This technique may assist clinicians in characterizing muscle injuries or neuromuscular disorders.;slice rendering, color coded;---
135;Soni, Thompson, Machijaru;Visualizing Particle / Flow Structure Interactions in the Small Bronchial Tubes;2008;Simulation;3;-3;-3;-6;0;Tissue;0;1;Physiology;Method;Process analysis, Direct visualization;0.75;0;0.25;1;direct visualization with illustrative method;Breathing;Lung;Vis;Models for studying particle/flow structure interactions in bronchial tube;#NAME?;soni.jpg;Bela Soni, David Thompson, Raghu Machiraju;Particle deposition in the small bronchial tubes (generations six through twelve) is strongly influenced by the vortexdominated secondary flows that are induced by axial curvature of the tubes. In this paper, we employ particle destination maps in conjunction with two-dimensional, finite-time Lyapunov exponent maps to illustrate how the trajectories of finite-mass particles are influenced by the presence of vortices. We consider two three-generation bronchial tube models: a planar, asymmetric geometry and a non-planar, asymmetric geometry. Our visualizations demonstrate that these techniques, coupled with judiciously seeded particle trajectories, are effective tools for studying particle/flow structure interactions.;flow visualization, pathlines, color coded;---
136;Stoppel et al.;Graxels: Information Rich Primitives for the Visualization of Time-Dependent Spatial Data;2016;MRI;2;-3;-2;---;---;Organ;0;1;Physiology;Method;Process analysis;0.25;1;0;1.25;small multiples showing time curves data from kidney;---;Kidney;Vis;Authors proposed a method to visualize elasticity of kidneys during a breathing process. Proposed method overlays a set of small multiples showing time curves data over the volume rendering of the kidney.;#NAME?;stoppel.jpg;S. Stoppely, E. Hodnelandz, H. Hauser, and S. Bruckner;Time-dependent volumetric data has important applications in areas as diverse as medicine, climatology, and engineering. However, the simultaneous quantitative assessment of spatial and temporal features is very challenging. Common visualization techniques show either the whole volume in one time step (for example using direct volume rendering) or let the user select a region of interest (ROI) for which a collection of time-intensity curves is shown. In this paper, we propose a novel approach that dynamically embeds quantitative detail views in a spatial layout. Inspired by the concept of small multiples, we introduce a new primitive graxel (graph pixel). Graxels are view dependent primitives of time-intensity graphs, generated on-the-fly by aggregating per-ray information over time and image regions. Our method enables the detailed feature-aligned visual analysis of time-dependent volume data and allows interactive refinement and filtering. Temporal behaviors like frequency relations, aperiodic or periodic oscillations and their spatial context are easily perceived with our method. We demonstrate the power of our approach using examples from medicine and the natural sciences.;small multiples, time curve, volume;---
137;Sundar, Litt, Shen;Estimating Myocardial Motion by 4D Image Warping;2009;MRI;3;-3;-3;-3;-2;Organ;0;1;Physiology;Method;Process analysis;1;0;0;1;direct visualization;Heart dynamic;Heart;Medical imaging;Typical cardiac motions are contraction, expansion and shear. Sundar et al. \cite{sundar:2009} proposed a method for spatio-temporally smooth and consistent estimation of cardiac motion from MR cine sequences. Unlike other approaches, that estimate myocardial motion by performing a series of deformable 3D registrations, the authors instead present it as a 4D registration problem, which makes the motion estimates temporally smooth and consistent.;#NAME?;sundar.jpg;Hari Sundar, Harold Litt, Dinggang Shen;A method for spatio-temporally smooth and consistent estimation of cardiac motion from MR cine sequences is proposed. Myocardial motion is estimated within a 4-dimensional (4D) registration framework, in which all 3D images obtained at different cardiac phases are simultaneously registered. This facilitates spatio-temporally consistent estimation of motion as opposed to other registrationbased algorithms which estimate the motion by sequentially registering one frame to another. To facilitate image matching, an attribute vector (AV) is constructed for each point in the image, and is intended to serve as a “morphological signature” of that point. The AV includes intensity, boundary, and geometric moment invariants (GMIs). Hierarchical registration of two image sequences is achieved by using the most distinctive points for initial registration of two sequences and gradually adding less-distinctive points to refine the registration. Experimental results on real data demonstrate good performance of the proposed method for cardiac image registration and motion estimation. The motion estimation is validated via comparisons with motion estimates obtained from MR images with myocardial tagging.;3D view, slice rendering, color coded;---
138;Sundaram et al.;Towards a model of lung biomechanics: Pulmonary kinematics via registration of serial lung images;2005;CT, MRI;3;-3;-2;0;0;Organ;0;1;Physiology;Method;Process analysis;1;0;0;1;direct visualization of model;---;Lung;Medical imaging;an approach toward the quantification of pulmonary deformation via non-rigid registration of serial MR images of the lung using the variational framework;#NAME?;sundaram.jpg;Tessa A. Sundaram, James C. Gee;The lungs are highly elastic organs, composed of a variety of structures: vasculature, airways and parenchyma. The unique mechanical properties of each of these structures form the composite material of the lung. Numerous pulmonary diseases affect these material properties. Clinically, these structural changes cannot be directly quantified. However, medical imaging modalities such as computed tomography and magnetic resonance imaging can be used to observe lung morphology. It would be helpful to be able to correlate regional morphological changes with changes in pulmonary function. We present an approach toward the quantification of pulmonary deformation via non-rigid registration of serial MR images of the lung using the variational framework implemented in the Insight toolkit. Conventional registration methods, as exemplified by a finite element implementation of the classic elastic matching technique, are shown to perform well over a set of vascular landmarks in the measurement of lung motion. This performance is maintained in an augmented system, which combines inhomogeneous material properties with the use of domain discretizations tailored to reflect the apparent geometry within the image and to reduce background effects. These adaptations lay the groundwork for biomechanical modeling of the lung using the finite element method.;flow visualization, slice rendering, color coded, arrows;---
139;Teran et al.;Creating and simulating skeletal muscle from the visible human data set;2005;VHD;3;-3;-2;-2;0;Organ;0;1;Physiology;Model;Process simulation;1;0;0;1;direct visualization;Muscle dynamics;Muscle;Vis;The creation of highly detailed geometry as well as for realistic anisotropies and heterogeneities. Additionally, realistic dynamic deformations are produced from a transversely isotropic muscle constitutive model;#NAME?;teran.jpg;J. Teran, E. Sifakis, S. Blemker, V. Ng Thow Hing, C. Lau, R. Fedkiw;Simulation of the musculoskeletal system has important applications in biomechanics, biomedical engineering, surgery simulation and computer graphics. The accuracy of the muscle, bone and tendon geometry as well as the accuracy of muscle and tendon dynamic deformation are of paramount importance in all these applications. We present a framework for extracting and simulating high resolution musculoskeletal geometry from the segmented visible human data set. We simulate 30 contact/collision coupled muscles in the upper limb and describe a computationally tractable implementation using an embedded mesh framework. Muscle geometry is embedded in a non-manifold, connectivity preserving simulation mesh molded out of a lower resolution BCC lattice containing identical, well-shaped elements leading to a relaxed time step restriction for stability and thus reduced computational cost. The muscles are endowed with a transversely isotropic, quasi-incompressible constitutive model that incorporates muscle fiber fields as well as passive and active components. The simulation takes advantage of a new robust finite element technique that handles both degenerate and inverted tetrahedra.;mesh, animation;More realistic muscle constitutive models that include the force/velocity relationship, time dependent elasticity changes noted in as well as anisotropic shear behavior relative to the fiber axis can be used when examining more specific phenomena on a smaller scale such as nonuniform contraction of the biceps
140;Termeer et al.;Visualization of myocardial perfusion derived from coronary anatomy;2008;CT;3;-3;-2;---;---;Organ;0;1;Anatomy;Model;Process simulation;0;1;0;1;visual analysis;---;Heart;Vis;Moreover, Termeer \cite{termeer:2008} have introduced a method for the exploration of perfusion on the cardiac muscle. The perfusion information is mapped on the surface of the heart muscle, and that was projected into bulls eye layout, heavily used in medicine practice nowadays.;#NAME?;termeer2008.jpg;Maurice Termeer, Javier Olivan Bescos, Marcel Breeuwer, Anna Vilanova, Frans Gerritsen, M. Eduard Groller, Member, Eike Nagel;Visually assessing the effect of the coronary artery anatomy on the perfusion of the heart muscle in patients with coronary artery disease remains a challenging task. We explore the feasibility of visualizing this effect on perfusion using a numerical approach. We perform a computational simulation of the way blood is perfused throughout the myocardium purely based on information from a three-dimensional anatomical tomographic scan. The results are subsequently visualized using both three-dimensional visualizations and bull’s eye plots, partially inspired by approaches currently common in medical practice. Our approach results in a comprehensive visualization of the coronary anatomy that compares well to visualizations commonly used for other scanning technologies. We demonstrate techniques giving detailed insight in blood supply, coronary territories and feeding coronary arteries of a selected region. We demonstrate the advantages of our approach through visualizations that show information which commonly cannot be directly observed in scanning data, such as a separate visualization of the supply from each coronary artery. We thus show that the results of a computational simulation can be effectively visualized and facilitate visually correlating these results to for example perfusion data.;3D to 2D, bullseye, comparative visualization, color coded;---
141;Termeer et al.;CoViCAD: Comprehensive Visualization of Coronary Artery Disease;2007;MRI;3;-3;-2;---;---;Organ;0;1;Anatomy;Method;Structure analysis;0;1;0;1;visual analysis;---;Heart;Vis;Termeer et al. \cite{termeer:2007} have extented an accepted medical visualization technique called the bull’s eye plot by removing discontinuities, preserving the volumetric nature of the left ventricular wall and adding anatomical context.;#NAME?;termeer2007.jpg;Maurice Termeer, Javier Olivan Bescos, Marcel Breeuwer, Anna Vilanova, Frans Gerritsen, M. Eduard Groller;We present novel, comprehensive visualization techniques for the diagnosis of patients with Coronary Artery Disease using segmented cardiac MRI data. We extent an accepted medical visualization technique called the bull’s eye plot by removing discontinuities, preserving the volumetric nature of the left ventricular wall and adding anatomical context. The resulting volumetric bull’s eye plot can be used for the assessment of transmurality. We link these visualizations to a 3D view that presents viability information in a detailed anatomical context. We combine multiple MRI scans (whole heart anatomical data, late enhancement data) and multiple segmentations (polygonal heart model, late enhancement contours, coronary artery tree). By selectively combining different rendering techniques we obtain comprehensive yet intuitive visualizations of the various data sources.;volume bullseye;Medical evaluation of the techniques
142;Thomaß et al.;Interactive Exploration of Polymer-Solvent Interactions;2011;MD simulation;3;-9;-7;---;---;Molecule;0;1;Physiology;Method;Process analysis;0.5;0.5;0;1;direct visualization of molecule shape woth encoding for visual analysis;Molecular interaction;Molecule;Vis;Reaction possibilities are color encoded in the molecular surface \cite{thomass:2011} with special regard to polymer/ solvent interactions. Here, polymer is represented by a colored semi-transparent isosurface with glyphs depicting solvents around it.;#NAME?;thomass.jpg;B. Thomaß, J. Walter, M. Krone, H. Hasse, and T. Ertl;The interaction of three-dimensional linked hydrophilic polymers with surrounding solvents in time-dependent data sets is of great interest for domain experts and current research in molecular dynamics. These polymers are called hydrogels, and their most characteristic property is their swelling in aqueous solutions by absorbing the solvent. Their conformation transition can be studied by investigations of the interaction of the single polymer strand and the solvent directly around the polymer at an atomistic level. We present new visualization techniques to interactively study time-dependent data sets from molecular dynamics simulations-with special regard to polymer/ solvent interactions like local concentrations and hydrogen bonds-as well as filtering methods to facilitate analysis. Such methods that visualize polymer/solvent interactions on a hydration shell around a polymer are not available in current tools and can greatly facilitate the visual analysis, which helps domain experts to extract additional information about hydrogel characteristics and gain new insights from the simulation results. While our visual analysis methods presented in this paper clearly facilitate the analysis of hydrogels and lead to new insight, the presented concepts are applicable to other domains like proteins or polymers in general that interact with solvents.;isosurface, color coded, representation combination, glyphs;Additional parameters to analyze
143;Tory et al.;4D space-time techniques: a medical imaging case study;2001;MRI,SPECT;3;-3;-2;0;2;Organ;0;1;Anatomy;Survey;Process analysis;0.75;0.25;0;1;direct visualization of molecule shape woth encoding for visual analysis;any time oriented pr.;Kidney;Vis;Compared different methods to visualize medical image data: isosurfaces, direct volume rendering, glyphs ;---;---;Melanie Tory, Niklas Röber, Torsten Möller, Anna Celler, M. Stella Atkins;We present the problem of visualizing time-varying medical data. Two medical imaging modalities are compared - MRI and dynamic SPECT. For each modality, we examine several derived scalar and vector quantities such as the change in intensity over time, the spatial gradient, and the change of the gradient over time. We compare several methods for presenting the data, including isosurfaces, direct volume rendering, and vector visualization using glyphs. These techniques may provide more information and context than methods currently used in practice, thus it is easier to discover temporal changes and abnormalities in a data set.;---;Improve interaction, corelation of new measures
144;Van Den Heuvel, Mandl, Pol;Normalized Cut Group Clustering of Resting-State fMRI Data;2008;fMRI;3;-3;-2;-3;0;Organ;0;1;Physiology;Method;Process analysis;1;0;0;1;direct visualization;brain activation;Brain;Neuroscience;a voxel based model-free normalized cut graph clustering approach with whole brain coverage for group analysis of resting-state data;#NAME?;vanDenHeuvel.jpg;Martijn van den Heuvel, Rene Mandl, Hilleke Hulshoff Pol;Background: Functional brain imaging studies have indicated that distinct anatomical brain regions can show coherent spontaneous neuronal activity during rest. Regions that show such correlated behavior are said to form resting-state networks (RSNs). RSNs have been investigated using seed-dependent functional connectivity maps and by using a number of model-free methods. However, examining RSNs across a group of subjects is still a complex task and often involves human input in selecting meaningful networks. Methodology/Principal Findings: We report on a voxel based model-free normalized cut graph clustering approach with whole brain coverage for group analysis of resting-state data, in which the number of RSNs is computed as an optimal clustering fit of the data. Inter-voxel correlations of time-series are grouped at the individual level and the consistency of the resulting networks across subjects is clustered at the group level, defining the group RSNs. We scanned a group of 26 subjects at rest with a fast BOLD sensitive fMRI scanning protocol on a 3 Tesla MR scanner. Conclusions/Significance: An optimal group clustering fit revealed 7 RSNs. The 7 RSNs included motor/visual, auditory and attention networks and the frequently reported default mode network. The found RSNs showed large overlap with recently reported resting-state results and support the idea of the formation of spatially distinct RSNs during rest in the human brain.;volume, slice rendering, color coded;---
145;van Dixhoorn et al.;Visual analysis of integrated resting state functional brain connectivity and anatomy;2010;fMRI;3;-3;-2;---;---;Organ;0;1;Anatomy;Method;Structure analysis;0;1;0;1;visual analysis;---;Brain;Vis;van Dixhoorn et al. presented GRACE: a visual analysis application that combine the strengths of the two-dimensional representations with three dimensional network and iso-surface visualizations for studying connectivity in resting-state functional MRI data that couples information and scientific visualization views.;#NAME?;vanDixhoorn.jpg;A.F. van Dixhoorn, B.H. Vissers, L. Ferrarini, J. Milles, and C.P. Botha;Resting state functional magnetic resonance imaging (rs-fMRI) is an important modality in the study of the functional architecture of the human brain. The correlation between the resting state fMRI activity traces of different brain regions indicates to what extent they are functionally connected. rs-fMRI data typically consists of a matrix of correlations, also denoted as functional correlations, between regions in the brain. Visualization is required for a good understanding of the data. Several well-known representations have been used to visualize this type of data, including multi-dimensional scaling, spring embedding, scatter plots and network visualization. None of these methods provide the ability to show the functional correlation in relation to the anatomical distance and position of the regions, while preserving the ability to quickly identify outliers in the data. In this paper, a visual analysis application is presented that overcomes this limitation by combining the strengths of the two-dimensional representations with three dimensional network and iso-surfacing visualizations. We show how the application facilitates rs-fMRI connectivity research by means of a case study evaluation.;3D view, network, scatter plot, brushing, filtering;Visualizing change over time to visualize differences between different subjects
146;van Pelt et al.;Exploration of 4D MRI blood flow using stylistic visualization;2010;MRI;3;-3;-2;-2;0;Organ;0;1;Physiology;Method;Process analysis;0;0.25;0.75;1;illustrative visualization for visual analysis;blood flow;Heart;Vis;Using illustrative techniques to visualize 4D blood flow information;#NAME?;pelt2010.jpg;Roy van Pelt, Javier Olivan Bescos, Marcel Breeuwer, Rachel E. Clough, M. Eduard Groller, Bart ter Haar Romeny, Anna Vilanova;Insight into the dynamics of blood-flow considerably improves the understanding of the complex cardiovascular system and its pathologies. Advances in MRI technology enable acquisition of 4D blood-flow data, providing quantitative blood-flow velocities over time. The currently typical slice-by-slice analysis requires a full mental reconstruction of the unsteady blood-flow field, which is a tedious and highly challenging task, even for skilled physicians. We endeavor to alleviate this task by means of comprehensive visualization and interaction techniques. In this paper we present a framework for pre-clinical cardiovascular research, providing tools to both interactively explore the 4D blood-flow data and depict the essential blood-flow characteristics. The framework encompasses a variety of visualization styles, comprising illustrative techniques as well as improved methods from the established field of flow visualization. Each of the incorporated styles, including exploded planar reformats, flow-direction highlights, and arrow-trails, locally captures the blood-flow dynamics and may be initiated by an interactively probed vessel cross-section. Additionally, we present the results of an evaluation with domain experts, measuring the value of each of the visualization styles and related rendering parameters.;flow visualization, arrows, pathlines, color coded;Other illustrative techniques such as the line perception could be enhanced by means of shadows or halo effects. Additionally, more elaborate opacity mappings could be applied to the presented line primitives, highlighting only the curves that portray certain properties of interest.
147;van Pelt et al.;Interactive Virtual Probing of 4D MRI Blood-Flow;2011;MRI;3;-3;-2;-2;0;Organ;0;1;Physiology;Method;Process analysis;0;0.25;0.75;1;illustrative visualization for visual analysis;blood flow;Heart;Vis;Interactive virtual probe serves as a navigational object for visual exploration of 4D blood flow data;#NAME?;pelt2011.jpg;Roy van Pelt, Javier Olivan Bescos, Marcel Breeuwer, Rachel E. Clough, M. Eduard Groller, Bart ter Haar Romeny, and Anna Vilanova;Better understanding of hemodynamics conceivably leads to improved diagnosis and prognosis of cardiovascular diseases. Therefore, an elaborate analysis of the blood-flow in heart and thoracic arteries is essential. Contemporary MRI techniques enable acquisition of quantitative time-resolved flow information, resulting in 4D velocity fields that capture the blood-flow behavior. Visual exploration of these fields provides comprehensive insight into the unsteady blood-flow behavior, and precedes a quantitative analysis of additional blood-flow parameters. The complete inspection requires accurate segmentation of anatomical structures, encompassing a time-consuming and hard-to-automate process, especially for malformed morphologies. We present a way to avoid the laborious segmentation process in case of qualitative inspection, by introducing an interactive virtual probe. This probe is positioned semi-automatically within the blood-flow field, and serves as a navigational object for visual exploration. The difficult task of determining position and orientation along the view-direction is automated by a fitting approach, aligning the probe with the orientations of the velocity field. The aligned probe provides an interactive seeding basis for various flow visualization approaches. We demonstrate illustration-inspired particles, integral lines and integral surfaces, conveying distinct characteristics of the unsteady blood-flow. Lastly, we present the results of an evaluation with domain experts, valuing the practical use of our probe and flow visualization techniques.;flow visualization, clipping, particles;Other types of probe, for example clipping probe, refining probe etc.
